Reference,Component,Description,Qty,Manufacturer,Mfr Part #,Supplier,Supplier Part #,Unit Price,Extended Price,Purchase Link
D1–D12,5mm Red LED,Through-hole red LED 5mm,12,Kingbright,WP7113ID,JLCPCB,C2296,$0.05,$0.60,https://jlcpcb.com/partdetail/Kingbright-WP7113ID/C2296
J1,USB Type-A Connector,USB Type-A female power input,1,Amphenol,787480-1,JLCPCB,C46407,$0.15,$0.15,https://jlcpcb.com/partdetail/Amphenol-787480_1/C46407
R1,Resistor 150Ω,Current limiting resistor 1/4W,1,Yageo,CFR-25JB-52-150R,JLCPCB,C114688,$0.01,$0.01,https://jlcpcb.com/partdetail/Yageo-CFR_25JB_52_150R/C114688
SW1,Slide Switch,SPDT slide switch power on/off,1,C&K,OS102011MS2QN1,JLCPCB,C128955,$0.10,$0.10,https://jlcpcb.com/partdetail/CK-OS102011MS2QN1/C128955
